identifier,genus,species,subspecies,kcat_dH,Kc_dH,Ko_dH,S_dH,form,taxonomy,group,note,short_ref
repens_galmés_2016_dH,Trifolium,repens,,,48.9,9.3,-18.0,1B,C3 plants,Plants,Native ecotype; from Lehnherr et al. 1985,Galmés 2016
membranacea_galmés_2016_dH,Urtica,membranacea,,,,,-20.4,1B,C3 plants,Plants,From Galmés et al. 2005,Galmés 2016
angustifolia_galmés_2016_dH,Flaveria,angustifolia,,,44,,-21.6,1B,C3-C4 plants,Plants,From Perdomo et al. 2015,Galmés 2016
floridana_galmés_2016_dH,Flaveria,floridana,,,44.1,,-20.4,1B,C3-C4 plants,Plants,From Perdomo et al. 2015,Galmés 2016
hybridus_galmés_2016_dH,Amaranthus,hybridus,,,,,-27.9,1B,C4 plants,Plants,From Jordan & Ogren 1984,Galmés 2016
bidentis_galmés_2016_dH,Flaveria,bidentis,,,31.6,,-20.0,1B,C4 plants,Plants,From Perdomo et al. 2015,Galmés 2016
trinervia_galmés_2016_dH,Flaveria,trinervia,,,31.7,,-21.4,1B,C4 plants,Plants,From Perdomo et al. 2015,Galmés 2016
officinarum_galmés_2016_dH,Saccharum,officinarum,,,35.8,,-23.0,1B,C4 plants,Plants,From Hermida-Carrera et al. 2016,Galmés 2016
viridis_galmés_2016_dH,Setaria,viridis,,,51.8,-4,-21.3,1B,C4 plants,Plants,From Boyd et al. 2015,Galmés 2016
mays_galmés_2016_dH,Zea,mays,,,22.9,,-20.1,1B,C4 plants,Plants,From Hermida-Carrera et al. 2016,Galmés 2016
variabilis_galmés_2016_dH,Anabaena,variabilis,M3,,38.8,,,1Bc,Cyanobacteria,Bacteria,From Badger 1980,Galmés 2016
schultzii_galmés_2016_dH,Espeletia,schultzii,,,23.7,,,1B,C3 plants,Plants,From Castrillo 1995,Galmés 2016
max_galmés_2016_dH,Glycine,max,,,37,-5.5,,1B,C3 plants,Plants,From Laing et al. 1974,Galmés 2016
o_sativa_galmés_2016_dH,Oryza,sativa,indica x japonica hybrid,,58.4,,,1B,C3 plants,Plants,From Wei et al. 1994,Galmés 2016
angustifolia_perdomo_2015_dH,Flaveria,angustifolia,,50.8,48.2,,-25.6,1B,C3-C4 plants,Plants,,Perdomo 2015
bidentis_perdomo_2015_dH,Flaveria,bidentis,,47.6,35.6,,-20.3,1B,C4 plants,Plants,,Perdomo 2015
cronquistii_perdomo_2015_dH,Flaveria,cronquistii,,54.1,56.7,,-22.2,1B,C3 plants,Plants,,Perdomo 2015
floridana_perdomo_2015_dH,Flaveria,floridana,,52.5,43.1,,-20.7,1B,C3-C4 plants,Plants,,Perdomo 2015
pringlei_perdomo_2015_dH,Flaveria,pringlei,,53.9,41.6,,-20.1,1B,C3 plants,Plants,,Perdomo 2015
trinervia_perdomo_2015_dH,Flaveria,trinervia,,48.8,35.6,,-20.8,1B,C4 plants,Plants,,Perdomo 2015
antarctica_saez_2017_dH,Deschampsia,antarctica,,78.8,,,-15.9,1B,C3 plants,Plants,,Saez 2017
quitensis_saez_2017_dH,Colobanthus,quitensis,,98.3,,,-19.3,1B,C3 plants,Plants,,Saez 2017
squarrosum_orr_2016_dH,Agriophyllum,squarrosum,,85.5,106.3,18.8,-16.8,1B,C3 plants,Plants,,Orr 2016
scabra_orr_2016_dH,Agrostis,scabra,,54.2,25.0,-64.0,-14.1,1B,C3 plants,Plants,,Orr 2016
stolonifera_orr_2016_dH,Agrostis,stolonifera,,59.1,44.0,-39.7,-11.2,1B,C3 plants,Plants,,Orr 2016
bracteata_orr_2016_dH,Amphicarpaea,bracteata,,78.8,94.3,,-14.1,1B,C3 plants,Plants,Only 2 Ko measurements so didn’t calculate Ko_dH,Orr 2016
latifolia_orr_2016_dH,Arctagrostis,latifolia,,59.2,23.6,-43.8,-13.0,1B,C3 plants,Plants,,Orr 2016
myriantha_orr_2016_dH,Artemisia,myriantha,,104.0,45.1,54.4,-19.4,1B,C3 plants,Plants,,Orr 2016
a_vulgaris_orr_2016_dH,Artemisia,vulgaris,,89.5,153.3,63.2,-19.2,1B,C3 plants,Plants,,Orr 2016
b_vulgaris_orr_2016_dH,Beta,vulgaris,,72.8,51.5,-45.2,-22.8,1B,C3 plants,Plants,,Orr 2016
anomalus_orr_2016_dH,Bromus,anomalus,,78.0,46.0,-33.7,-13.9,1B,C3 plants,Plants,,Orr 2016
arundinacea_orr_2016_dH,Calamagrostis,arundinacea,,41.0,-1.9,32.0,-15.9,1B,C3 plants,Plants,,Orr 2016
c_canescens_orr_2016_dH,Calamagrostis,canescens,,70.3,37.1,-25.8,-16.2,1B,C3 plants,Plants,,Orr 2016
foliosa_orr_2016_dH,Calamagrostis,foliosa,,56.1,20.3,-19.7,-15.2,1B,C3 plants,Plants,,Orr 2016
inexpansa_orr_2016_dH,Calamagrostis,inexpansa,,62.7,23.2,-4.6,-14.7,1B,C3 plants,Plants,,Orr 2016
nutkaensis_orr_2016_dH,Calamagrostis,nutkaensis,,56.2,27.5,-1.6,-16.7,1B,C3 plants,Plants,,Orr 2016
murale_orr_2016_dH,Chenopodium,murale,,54.0,41.9,-14.3,-16.3,1B,C3 plants,Plants,,Orr 2016
petiolare_orr_2016_dH,Chenopodium,petiolare,,67.7,65.7,-39.1,-14.9,1B,C3 plants,Plants,,Orr 2016
indicum_orr_2016_dH,Chrysanthellum,indicum,,62.5,41.6,-47.6,-9.9,1B,C4 plants,Plants,,Orr 2016
ecirrhosus_orr_2016_dH,Citrullus,ecirrhosus,,82.4,67.7,-27.1,-8.1,1B,C3 plants,Plants,,Orr 2016
lanatus_orr_2016_dH,Citrullus,lanatus,,67.6,81.5,10.4,-3.7,1B,C3 plants,Plants,,Orr 2016
danthonioides_orr_2016_dH,Deschampsia,danthonioides,,58.7,11.9,-29.1,-20.5,1B,C3 plants,Plants,,Orr 2016
cinereum_orr_2016_dH,Desmodium,cinereum,,65.2,22.4,-37.2,-17.7,1B,C3 plants,Plants,,Orr 2016
intortum_orr_2016_dH,Desmodium,intortum,,86.3,157.2,53.5,-13.6,1B,C3 plants,Plants,,Orr 2016
psilocarpum_orr_2016_dH,Desmodium,psilocarpum,,72.0,33.0,-0.7,-13.9,1B,C3 plants,Plants,,Orr 2016
farctus_orr_2016_dH,Elymus,farctus,,67.7,60.9,87.3,-14.2,1B,C3 plants,Plants,,Orr 2016
tef_orr_2016_dH,Eragrostis,tef,,82.3,52.3,10.1,-20.8,1B,C4 plants,Plants,,Orr 2016
flabelliformis_orr_2016_dH,Erythrina,flabelliformis,,69.5,45.9,38.5,-10.4,1B,C3 plants,Plants,,Orr 2016
helioscopia_orr_2016_dH,Euphorbia,helioscopia,,75.0,80.3,12.8,-12.0,1B,C3 plants,Plants,,Orr 2016
microsphaera_orr_2016_dH,Euphorbia,microsphaera,,67.1,31.7,31.5,-10.3,1B,C3 plants,Plants,,Orr 2016
gigantea_orr_2016_dH,Festuca,gigantea,,68.9,41.7,-36.3,-19.4,1B,C3 plants,Plants,,Orr 2016
pratensis_orr_2016_dH,Festuca,pratensis,,67.1,38.8,-12.0,-8.4,1B,C3 plants,Plants,,Orr 2016
suffruticosa_orr_2016_dH,Flueggea,suffruticosa,,63.1,-1.2,18.3,-16.1,1B,C3 plants,Plants,,Orr 2016
