identifier,genus,species,subspecies,kcat_val,kcat_T,Kc_val,Kc_T,Ko_val,Ko_T,S_val,S_T,temp,form,PGS,taxonomy,note
tabacum_sharwood_2016,Nicotiana,tabacum,,3.1,,9.7,,283,,82.6,,25,1B,canon,C3 plants,Sharwood 2016
tabacum_sharwood_2017,Nicotiana,tabacum,,3.1,,9.4,,236,,82.3,,25,1B,canon,C3 plants,Sharwood 2017
tabacum_whitney_2001,Nicotiana,tabacum,,3.4,,10.7,,295,,82,,25,1B,canon,C3 plants,Whitney 2001
tabacum_whitney_2011,Nicotiana,tabacum,,3.2,,12.6,,274,,81,,25,1B,canon,C3 plants,Whitney 2011
tabacum_young_2016,Nicotiana,tabacum,,3.1,,9.7,,283,,82,,25,1B,canon,C3 plants,Young 2016
luteus_read_1994,Olisthodiscus,luteus,,0.83,,59,,692,,100,,25,1D,,Brown algae,Read 1994
barthii/glaberrima_orr_2016,Oryza,barthii/glaberrima,,2.5,,14,,479,,107,,25,1B,canon,C3 plants,Orr 2016
eichingeri_orr_2016,Oryza,eichingeri,,2.5,,14.1,,612,,107,,25,1B,canon,C3 plants,Orr 2016
glaberrima_orr_2016,Oryza,glaberrima,,2.7,,14.9,,586,,105,,25,1B,canon,C3 plants,Orr 2016
glumaepatula_orr_2016,Oryza,glumaepatula,,2.4,,15.2,,484,,109,,25,1B,canon,C3 plants,Orr 2016
longistaminata_orr_2016,Oryza,longistaminata,,2.2,,15.1,,757,,108,,25,1B,canon,C3 plants,Orr 2016
meridionalis_orr_2016,Oryza,meridionalis,,2.6,,14.6,,382,,107,,25,1B,canon,C3 plants,Orr 2016
nivara_orr_2016,Oryza,nivara,,2.7,,15.6,,611,,107,,25,1B,canon,C3 plants,Orr 2016
punctata_orr_2016,Oryza,punctata,,2.7,,14.9,,342,,109,,25,1B,canon,C3 plants,Orr 2016
o_sativa_hermida_2016,Oryza,sativa,,2.1,,8,,222,,93.1,,25,1B,canon,C3 plants,Hermida-Carrera 2016
sativa1_orr_2016,Oryza,sativa,Indica,2.2,,7,,269,,101,,25,1B,canon,C3 plants,Orr 2016
sativa2_orr_2016,Oryza,sativa,Japonica,2.8,,11.8,,469,,106,,25,1B,canon,C3 plants,Orr 2016
rubra_orr_2016,Oxybasis,rubra,,4.1,,14.5,,346,,97.8,,25,1B,canon,C3 plants,Orr 2016
amarum_orr_2016,Panicum,amarum,,3.2,,33.1,,800,,89.5,,25,1B,canon,C4 plants,Orr 2016
bisulcatum_sharwood_2016,Panicum,bisulcatum,,2.6,,7.8,,416,,87.7,,25,1B,canon,C3 plants,Sharwood 2016
coloratum_sharwood_2016,Panicum,coloratum,,3.4,,11.1,,445,,84.8,,25,1B,canon,C4 plants,Sharwood 2016
deustum_sharwood_2016,Panicum,deustum,,5,,15.4,,306,,84.8,,25,1B,canon,C4 plants,Sharwood 2016
dichotomiflorum_orr_2016,Panicum,dichotomiflorum,,3.1,,36.3,,1540,,92.6,,25,1B,canon,C4 plants,Orr 2016
miliaceum_sharwood_2016,Panicum,miliaceum,,2.1,,7.2,,313,,79.9,,25,1B,canon,C4 plants,Sharwood 2016
milioides_sharwood_2016,Panicum,milioides,,2.2,,7.4,,387,,92.3,,25,1B,canon,C3-C4 plants,Sharwood 2016
monticola_sharwood_2016,Panicum,monticola,,5.3,,18.2,,543,,79.4,,25,1B,canon,C4 plants,Sharwood 2016
phragmitoides_orr_2016,Panicum,phragmitoides,,2.8,,25.1,,687,,107,,25,1B,canon,C4 plants,Orr 2016
virgatum_sharwood_2016,Panicum,virgatum,,3.3,,12.7,,271,,82.6,,25,1B,canon,C4 plants,Sharwood 2016
dilatatum_carmo_2010,Paspalum,dilatatum,,3.6,,19.9,,415,,88,,25,1B,canon,C4 plants,Carmo-Silva 2010
lutheri_heureux_2017,Pavlova,lutheri,,2.5,,14.5,,1150,,125,,25,1D,,Haptophytes,Heureux 2017
tricornutum_whitney_2001,Phaeodactylum,tricornutum,,3.4,,27.9,,467,,113,,25,1D,,Diatoms,Whitney 2001
tricornutum1_young_2016,Phaeodactylum,tricornutum,CS-29,3.3,,41,,664,,116,,25,1D,,Diatoms,Young 2016
tricornutum2_young_2016,Phaeodactylum,tricornutum,UTEX 642,3.2,,36,,592,,108,,25,1D,,Diatoms,Young 2016
carteri_orr_2016,Phaseolus,carteri,,3.2,,14.2,,422,,84.5,,25,1B,canon,C3 plants,Orr 2016
coccineus_orr_2016,Phaseolus,coccineus,,3.9,,15.6,,491,,104,,25,1B,canon,C3 plants,Orr 2016
lunatus_orr_2016,Phaseolus,lunatus,,3.2,,17.3,,537,,101,,25,1B,canon,C3 plants,Orr 2016
p_vulgaris_hermida_2016,Phaseolus,vulgaris,,1.7,,7.8,,325,,99.7,,25,1B,canon,C3 plants,Hermida-Carrera 2016
p_vulgaris_orr_2016,Phaseolus,vulgaris,,3.5,,20.2,,463,,105,,25,1B,canon,C3 plants,Orr 2016
carterae_heureux_2017,Pleurochrysis,carterae,,3.3,,17.7,,366,,102,,25,1D,,Haptophytes,Heureux 2017
palustris_orr_2016,Poa,palustris,,4.2,,19.2,,562,,112,,25,1B,canon,C3 plants,Orr 2016
cruentum_read_1994,Porphyridium,cruentum,,1.59,,22,,1570,,129,,25,1D,,Red algae,Read 1994
marinus_shih_2016,Prochlorococcus,marinus,,6.58,,309,,1400,,59.9,,25,1Ac,,Cyanobacteria,Shih 2016
distans_orr_2016,Puccinellia,distans,,5.4,,22.2,,488,,104,,25,1B,canon,C3 plants,Orr 2016
